timebin,sid,sequence,use,group
0,3932129,PTcCTc,1,LL
1,3932129,PTcCTc,0,LL
2,3932129,PTcCTc,1,LL
3,3932129,PTcCTc,0,LL
0,3932129,PTsP,0,LL
1,3932129,PTsP,0,LL
2,3932129,PTsP,0,LL
3,3932129,PTsP,0,LL
0,3932129,PTsPC,0,LL
1,3932129,PTsPC,0,LL
2,3932129,PTsPC,0,LL
3,3932129,PTsPC,0,LL
0,3932129,TbPCP,1,LL
1,3932129,TbPCP,0,LL
2,3932129,TbPCP,0,LL
3,3932129,TbPCP,1,LL
0,3932129,TcCPC,0,LL
1,3932129,TcCPC,1,LL
2,3932129,TcCPC,0,LL
3,3932129,TcCPC,0,LL
0,4762120,CPCPCP,0,LL
1,4762120,CPCPCP,0,LL
2,4762120,CPCPCP,0,LL
3,4762120,CPCPCP,0,LL
0,4762120,CPCPCPC,0,LL
1,4762120,CPCPCPC,0,LL
2,4762120,CPCPCPC,0,LL
3,4762120,CPCPCPC,0,LL
0,4762120,CPCTcC,0,LL
1,4762120,CPCTcC,0,LL
2,4762120,CPCTcC,0,LL
3,4762120,CPCTcC,0,LL
0,4762120,CPCTs,0,LL
1,4762120,CPCTs,0,LL
2,4762120,CPCTs,0,LL
3,4762120,CPCTs,0,LL
0,4762120,CPTs,0,LL
1,4762120,CPTs,0,LL
2,4762120,CPTs,0,LL
3,4762120,CPTs,0,LL
0,4762120,CTcCTcP,0,LL
1,4762120,CTcCTcP,0,LL
2,4762120,CTcCTcP,0,LL
3,4762120,CTcCTcP,0,LL
0,4762120,CTsCTs,1,LL
1,4762120,CTsCTs,1,LL
2,4762120,CTsCTs,0,LL
3,4762120,CTsCTs,0,LL
0,4762120,CTsPC,1,LL
1,4762120,CTsPC,1,LL
2,4762120,CTsPC,0,LL
3,4762120,CTsPC,0,LL
0,4762120,PCTbP,0,LL
1,4762120,PCTbP,0,LL
2,4762120,PCTbP,0,LL
3,4762120,PCTbP,0,LL
0,4762120,PTcC,0,LL
1,4762120,PTcC,0,LL
2,4762120,PTcC,0,LL
3,4762120,PTcC,0,LL
0,4762120,PTcCTc,0,LL
1,4762120,PTcCTc,0,LL
2,4762120,PTcCTc,0,LL
3,4762120,PTcCTc,0,LL
0,4762120,PTsP,0,LL
1,4762120,PTsP,0,LL
2,4762120,PTsP,0,LL
3,4762120,PTsP,0,LL
0,4762120,PTsPC,0,LL
1,4762120,PTsPC,0,LL
2,4762120,PTsPC,0,LL
3,4762120,PTsPC,0,LL
0,4762120,TbPCP,0,LL
1,4762120,TbPCP,0,LL
2,4762120,TbPCP,0,LL
3,4762120,TbPCP,0,LL
0,4762120,TcCPC,0,LL
1,4762120,TcCPC,0,LL
2,4762120,TcCPC,0,LL
3,4762120,TcCPC,0,LL
0,4936123,CPCPCP,0,HH
1,4936123,CPCPCP,0,HH
2,4936123,CPCPCP,0,HH
3,4936123,CPCPCP,0,HH
0,4936123,CPCPCPC,0,HH
1,4936123,CPCPCPC,0,HH
2,4936123,CPCPCPC,0,HH
3,4936123,CPCPCPC,0,HH
0,4936123,CPCTcC,0,HH
1,4936123,CPCTcC,0,HH
2,4936123,CPCTcC,0,HH
3,4936123,CPCTcC,0,HH
0,4936123,CPCTs,0,HH
1,4936123,CPCTs,1,HH
2,4936123,CPCTs,0,HH
3,4936123,CPCTs,0,HH
0,4936123,CPTs,1,HH
1,4936123,CPTs,0,HH
2,4936123,CPTs,0,HH
3,4936123,CPTs,0,HH
0,4936123,CTcCTcP,0,HH
1,4936123,CTcCTcP,0,HH
2,4936123,CTcCTcP,0,HH
3,4936123,CTcCTcP,0,HH
0,4936123,CTsCTs,0,HH
1,4936123,CTsCTs,1,HH
2,4936123,CTsCTs,0,HH
3,4936123,CTsCTs,0,HH
0,4936123,CTsPC,0,HH
1,4936123,CTsPC,1,HH
2,4936123,CTsPC,0,HH
3,4936123,CTsPC,0,HH
0,4936123,PCTbP,0,HH
1,4936123,PCTbP,0,HH
2,4936123,PCTbP,0,HH
3,4936123,PCTbP,0,HH
0,4936123,PTcC,0,HH
1,4936123,PTcC,0,HH
2,4936123,PTcC,0,HH
3,4936123,PTcC,1,HH
0,4936123,PTcCTc,0,HH
1,4936123,PTcCTc,0,HH
2,4936123,PTcCTc,0,HH
3,4936123,PTcCTc,0,HH
0,4936123,PTsP,0,HH
1,4936123,PTsP,0,HH
2,4936123,PTsP,0,HH
3,4936123,PTsP,0,HH
0,4936123,PTsPC,0,HH
1,4936123,PTsPC,0,HH
2,4936123,PTsPC,0,HH
3,4936123,PTsPC,0,HH
0,4936123,TbPCP,0,HH
1,4936123,TbPCP,0,HH
2,4936123,TbPCP,0,HH
3,4936123,TbPCP,0,HH
0,4936123,TcCPC,0,HH
1,4936123,TcCPC,0,HH
2,4936123,TcCPC,0,HH
3,4936123,TcCPC,0,HH
0,8580120,CPCPCP,0,HH
1,8580120,CPCPCP,0,HH
2,8580120,CPCPCP,0,HH
3,8580120,CPCPCP,0,HH
0,8580120,CPCPCPC,0,HH
1,8580120,CPCPCPC,0,HH
2,8580120,CPCPCPC,0,HH
3,8580120,CPCPCPC,0,HH
0,8580120,CPCTcC,0,HH
1,8580120,CPCTcC,0,HH
2,8580120,CPCTcC,0,HH
3,8580120,CPCTcC,0,HH
0,8580120,CPCTs,0,HH
1,8580120,CPCTs,0,HH
2,8580120,CPCTs,0,HH
3,8580120,CPCTs,0,HH
0,8580120,CPTs,0,HH
1,8580120,CPTs,0,HH
2,8580120,CPTs,0,HH
