timebin,sid,sequence,use,group
3,3932129,TbCP,0,LL
0,3932129,TbP,1,LL
1,3932129,TbP,0,LL
2,3932129,TbP,0,LL
3,3932129,TbP,1,LL
0,3932129,TbPC,1,LL
1,3932129,TbPC,0,LL
2,3932129,TbPC,0,LL
3,3932129,TbPC,1,LL
0,3932129,TbPCP,1,LL
1,3932129,TbPCP,0,LL
2,3932129,TbPCP,0,LL
3,3932129,TbPCP,1,LL
0,4762120,CPCTs,0,LL
1,4762120,CPCTs,0,LL
2,4762120,CPCTs,0,LL
3,4762120,CPCTs,0,LL
0,4762120,CPTs,0,LL
1,4762120,CPTs,0,LL
2,4762120,CPTs,0,LL
3,4762120,CPTs,0,LL
0,4762120,CTbC,0,LL
1,4762120,CTbC,1,LL
2,4762120,CTbC,0,LL
3,4762120,CTbC,0,LL
0,4762120,CTbP,1,LL
1,4762120,CTbP,0,LL
2,4762120,CTbP,0,LL
3,4762120,CTbP,0,LL
0,4762120,CTbPC,0,LL
1,4762120,CTbPC,0,LL
2,4762120,CTbPC,0,LL
3,4762120,CTbPC,0,LL
0,4762120,CTcPTcP,0,LL
1,4762120,CTcPTcP,0,LL
2,4762120,CTcPTcP,0,LL
3,4762120,CTcPTcP,0,LL
0,4762120,CTsCTs,1,LL
1,4762120,CTsCTs,1,LL
2,4762120,CTsCTs,0,LL
3,4762120,CTsCTs,0,LL
0,4762120,PCTbP,0,LL
1,4762120,PCTbP,0,LL
2,4762120,PCTbP,0,LL
3,4762120,PCTbP,0,LL
0,4762120,PCTsP,1,LL
1,4762120,PCTsP,0,LL
2,4762120,PCTsP,0,LL
3,4762120,PCTsP,0,LL
0,4762120,PTb,1,LL
1,4762120,PTb,0,LL
2,4762120,PTb,0,LL
3,4762120,PTb,0,LL
0,4762120,PTsPC,0,LL
1,4762120,PTsPC,0,LL
2,4762120,PTsPC,0,LL
3,4762120,PTsPC,0,LL
0,4762120,TbCP,0,LL
1,4762120,TbCP,0,LL
2,4762120,TbCP,0,LL
3,4762120,TbCP,0,LL
0,4762120,TbP,1,LL
1,4762120,TbP,0,LL
2,4762120,TbP,0,LL
3,4762120,TbP,0,LL
0,4762120,TbPC,0,LL
1,4762120,TbPC,0,LL
2,4762120,TbPC,0,LL
3,4762120,TbPC,0,LL
0,4762120,TbPCP,0,LL
1,4762120,TbPCP,0,LL
2,4762120,TbPCP,0,LL
3,4762120,TbPCP,0,LL
0,4936123,CPCTs,0,HH
1,4936123,CPCTs,1,HH
2,4936123,CPCTs,0,HH
3,4936123,CPCTs,0,HH
0,4936123,CPTs,1,HH
1,4936123,CPTs,0,HH
2,4936123,CPTs,0,HH
3,4936123,CPTs,0,HH
0,4936123,CTbC,1,HH
1,4936123,CTbC,0,HH
2,4936123,CTbC,0,HH
3,4936123,CTbC,0,HH
0,4936123,CTbP,1,HH
1,4936123,CTbP,0,HH
2,4936123,CTbP,0,HH
3,4936123,CTbP,0,HH
0,4936123,CTbPC,0,HH
1,4936123,CTbPC,0,HH
2,4936123,CTbPC,0,HH
3,4936123,CTbPC,0,HH
0,4936123,CTcPTcP,0,HH
1,4936123,CTcPTcP,0,HH
2,4936123,CTcPTcP,0,HH
3,4936123,CTcPTcP,0,HH
0,4936123,CTsCTs,0,HH
1,4936123,CTsCTs,1,HH
2,4936123,CTsCTs,0,HH
3,4936123,CTsCTs,0,HH
0,4936123,PCTbP,0,HH
1,4936123,PCTbP,0,HH
2,4936123,PCTbP,0,HH
3,4936123,PCTbP,0,HH
0,4936123,PCTsP,0,HH
1,4936123,PCTsP,1,HH
2,4936123,PCTsP,0,HH
3,4936123,PCTsP,0,HH
0,4936123,PTb,1,HH
1,4936123,PTb,0,HH
2,4936123,PTb,0,HH
3,4936123,PTb,0,HH
0,4936123,PTsPC,0,HH
1,4936123,PTsPC,0,HH
2,4936123,PTsPC,0,HH
3,4936123,PTsPC,0,HH
0,4936123,TbCP,1,HH
1,4936123,TbCP,0,HH
2,4936123,TbCP,0,HH
3,4936123,TbCP,0,HH
0,4936123,TbP,1,HH
1,4936123,TbP,0,HH
2,4936123,TbP,0,HH
3,4936123,TbP,0,HH
0,4936123,TbPC,0,HH
1,4936123,TbPC,0,HH
2,4936123,TbPC,0,HH
3,4936123,TbPC,0,HH
0,4936123,TbPCP,0,HH
1,4936123,TbPCP,0,HH
2,4936123,TbPCP,0,HH
3,4936123,TbPCP,0,HH
0,8580120,CPCTs,0,HH
1,8580120,CPCTs,0,HH
2,8580120,CPCTs,0,HH
3,8580120,CPCTs,0,HH
0,8580120,CPTs,0,HH
1,8580120,CPTs,0,HH
2,8580120,CPTs,0,HH
3,8580120,CPTs,0,HH
0,8580120,CTbC,0,HH
1,8580120,CTbC,0,HH
2,8580120,CTbC,0,HH
3,8580120,CTbC,0,HH
0,8580120,CTbP,1,HH
1,8580120,CTbP,0,HH
2,8580120,CTbP,0,HH
