SEQ,IG,time bin,LH,LL,HH,chi^2,p-val,LH-res,LL-res,HH-res
Tb,0.25,0,0.68,0.53,0.82,5.323,0.07,0.47,-2.05,1.82
Tc,0.03,1,0.68,0.78,0.45,6.507,0.039,0.3,1.79,-2.4
