File name,verified student ID,activity,order,use?
2013-07-12_09-57-21_oafhlm7aonr6aefotnbig9i3ib_smmbdtdl6a3l8kmuj51qdgk1ism.txt',13378139,1 light bulbs,2,
2013-07-12_10-29-04_oafhlm7aonr6aefotnbig9i3ib_sqtnn08r19uf1aj2td7044jdk9i.txt',13378139,2-3 resistor-puzzle,3,
2013-07-11_13-12-02_l8ubuto8jnb3nr6757tj374bk5_sfbvqpfj0k53k5f9s8ku6uolu20.txt',13679110,1 light bulbs,1,
2013-07-11_13-57-22_l8ubuto8jnb3nr6757tj374bk5_s464r64nkb7a146ou9ugp3bnkb9.txt',13679110,2 resistor,2,ignore - too short
2013-07-11_13-59-27_l8ubuto8jnb3nr6757tj374bk5_s5k79evn902hdfilihc2jfrdd2f.txt',13679110,2-3 resistor-puzzle,3,
2013-07-11_13-14-33_d7ansveklbidu8f8p12rrh014q_sft4q9scc4kvvnaahmjoink2044.txt',14769115,1 light bulbs,1,ignore - too short
2013-07-11_13-17-23_d7ansveklbidu8f8p12rrh014q_s3h78daccf1rehrj94el3euri5j.txt',14769115,1 light bulbs,2,
2013-07-11_13-59-41_d7ansveklbidu8f8p12rrh014q_srosqsurp259tk8kqg834k54ofe.txt',14769115,2 resistor,3,ignore - too short
2013-07-11_14-01-19_d7ansveklbidu8f8p12rrh014q_s3b8uukv1h8364vcto1prqaus7e.txt',14769115,2-3 resistor-puzzle,4,
2013-03-21_14-52-46_89pvauhne8vu9b49ufu7tv032u_s1cmispdj7is3klbb8qeb5ari0d.txt',15616121,1 light bulbs,1,
2013-03-21_15-41-23_89pvauhne8vu9b49ufu7tv032u_s7p44oiv3t3q60voh11eh6jcbsl.txt',15616121,2-3 resistor-puzzle,2,
2013-07-11_13-14-33_m12vb22umkn1i4l544fphsvdbi_sradi3g19earorjas09qjeuikuf.txt',16204127,1 light bulbs,1,
2013-07-11_13-37-44_m12vb22umkn1i4l544fphsvdbi_sh0iuld2dfs72i3d5036u3juu43.txt',16204127,1 light bulbs,2,
2013-07-11_13-54-36_m12vb22umkn1i4l544fphsvdbi_sl1muqs6odr0s7eqp362br6ougo.txt',16204127,2 resistor,3,ignore activity? 8 short files
2013-07-11_14-03-43_m12vb22umkn1i4l544fphsvdbi_so79f5hljbnf2qs1pcsap64e4f5.txt',16204127,2 resistor,4,ignore activity? 8 short files
2013-07-11_14-10-44_m12vb22umkn1i4l544fphsvdbi_suleh7h8pri2nfu09hq47ccmfqn.txt',16204127,2 resistor,5,ignore - too short
2013-07-11_14-11-30_m12vb22umkn1i4l544fphsvdbi_sl6aoasehq12vm63d3nfcdlv52j.txt',16204127,2 resistor,6,ignore activity? 8 short files
2013-07-11_14-19-35_m12vb22umkn1i4l544fphsvdbi_s16lkg7nu80sp4l58mkf11a8e36.txt',16204127,2 resistor,7,ignore - too short
2013-07-11_14-20-24_m12vb22umkn1i4l544fphsvdbi_snkkuqrq3k903850lbof852k6gd.txt',16204127,2 resistor,8,ignore - too short
