studentID	condition	subject	video	cumulative watched	fraction watched	percent rewatched	number of 2 sec segments	moused over filmstrip	clicked filmstrip	enlarged filmstrip	highlighted in subtitleviewer	highlighted from video	highlighted total	played highlights	searched	clicked subtitleviewer
3560-36-DD-35-1E-44.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	69	0.049	0.02	None	2	1	0	0	0	0	0	0	0
3560-36-DD-35-1E-44.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
3590-B1-1C-94-8B-4A.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	208	0.169	0.017	None	66	66	0	0	0	0	0	0	0
3590-B1-1C-94-8B-4A.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	1413	0.589	0.292	None	42	13	2	0	0	0	0	0	3
4145085A-CF-5E-EB-A7-CD.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	1447	1.0	0.405	None	155	14	2	0	0	0	0	4	2
4145085A-CF-5E-EB-A7-CD.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	18	0.007	0.005	None	0	0	0	0	0	0	0	0	0
4149963c15c2c7b1ec.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	1320	1.0	0.254	None	72	6	0	0	0	0	0	0	1
4149963c15c2c7b1ec.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
50,22,819C-4E-36-CD-35-89.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
50,22,819C-4E-36-CD-35-89.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	60	0.031	0.0	None	1	0	0	0	0	0	0	0	2
501914D8-CB-8A-9B-A9-49.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	6	0.005	0.0	None	3	1	0	0	0	0	0	0	0
501914D8-CB-8A-9B-A9-49.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	622	0.324	0.002	None	38	0	0	0	0	0	0	0	2
52031400-24-8C-52-F0-1D.xml	1	PHI	JJ Thomson, Bystander at the Switch and Loop Trolley Problems.mp4	423	0.985	0.189	None	111	1	2	0	0	0	0	0	0
52031400-24-8C-52-F0-1D.xml	1	PHI	JJ Thomson, 'fat man' trolley problem.mp4	316	1.0	0.0	None	0	0	0	0	0	0	0	0	0
52031400-24-8C-52-F0-1D.xml	1	PHI	Philippa Foot, Trolley Driver and Transplant Problems.mp4	362	1.0	0.0	None	1	0	2	0	0	0	0	0	0
5543497C-7A-91-94-08-FA.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	2178	0.999	1.47	None	208	35	1	0	0	0	0	20	0
5543497C-7A-91-94-08-FA.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	2595	1.0	0.647	None	111	13	1	0	0	0	0	0	2
58360814109fd108fb.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	16	0.014	0.0	None	12	2	2	0	0	0	0	0	0
58360814109fd108fb.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	2	1	0	0	0	0	0	0	0
66499454-27-1E-1F-E1-3A.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	1182	1.0	0.019	None	11	1	0	0	2	2	0	11	2
66499454-27-1E-1F-E1-3A.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	120	0.059	0.007	None	10	4	2	0	0	0	0	0	2
7524851040f3a807c6.xml	2	PHI	JJ Thomson, Bystander at the Switch and Loop Trolley Problems.mp4	391	0.997	0.0	None	2	1	0	0	0	0	0	0	0
7524851040f3a807c6.xml	2	PHI	Philippa Foot, Trolley Driver and Transplant Problems.mp4	468	1.0	0.494	None	30	8	0	0	0	0	0	0	0
7524851040f3a807c6.xml	2	PHI	JJ Thomson, 'fat man' trolley problem.mp4	316	1.0	0.0	None	3	0	0	0	0	0	0	0	0
7557077831c1c6acd2.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	44	0.035	0.005	None	5	0	0	0	0	0	0	0	0
7557077831c1c6acd2.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	2965	0.837	1.166	None	2719	63	0	0	4	4	0	0	2
7840049cf387c07878.xml	2	PHI	JJ Thomson, Bystander at the Switch and Loop Trolley Problems.mp4	408	0.997	0.087	None	0	0	0	0	0	0	0	0	1
7840049cf387c07878.xml	2	PHI	Philippa Foot, Trolley Driver and Transplant Problems.mp4	451	1.0	0.492	None	8	0	0	0	0	0	0	0	3
7840049cf387c07878.xml	2	PHI	JJ Thomson, 'fat man' trolley problem.mp4	291	0.921	0.0	None	0	0	0	0	0	0	0	0	0
A1492054-EE-75-28-6A-10.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	57	0.049	0.0	None	31	26	2	0	0	0	0	0	0
A1492054-EE-75-28-6A-10.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	23	0.01	0.003	None	15	3	0	0	0	0	0	0	0
Z4565900-FF-78-18-F9-81.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	1410	0.997	0.389	None	5	2	0	0	0	0	0	0	0
Z4565900-FF-78-18-F9-81.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	2760	0.998	0.761	None	60	24	1	0	0	0	0	0	0
