studentID	condition	subject	video	cumulative watched	fraction watched	fraction rewatched	number of 2 sec segments	moused over filmstrip	clicked filmstrip	enlarged filmstrip	highlighted in subtitleviewer	highlighted from video	highlighted total	played highlights	searched	clicked subtitleviewer
05,53,807C-7A-91-AE-03-F4.xml	2	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05,53,807C-7A-91-AE-03-F4.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	65	3	0	0	0	0	0	0	2
05,53,807C-7A-91-AE-03-F4.xml	2	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	59	3	0	0	0	0	0	0	3
05,53,807C-7A-91-AE-03-F4.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	42	0.087	0.0	None	26	30	0	0	0	0	0	0	0
05,53,807C-7A-91-AE-03-F4.xml	2	CS	2_DigitalReadAndWrite.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	2
05,53,807C-7A-91-AE-03-F4.xml	2	CS	4_Programming7SegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	1
05,53,807C-7A-91-AE-03-F4.xml	2	CS	7_DAQReview.mp4	335	0.495	0.317	None	18	10	0	0	0	0	0	0	1
05,53,807C-7A-91-AE-03-F4.xml	2	CS	6_AnalogRead.mp4	0	0.0	0.0	None	36	12	0	0	0	0	0	0	0
05429656-8E-8F-94-1C-9D.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	1520	1.0	0.459	None	895	13	0	0	0	0	0	0	0
05429656-8E-8F-94-1C-9D.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	2484	0.999	0.544	None	1145	32	0	0	0	0	0	0	2
054321a0999b071993.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	50	0.027	0.031	None	15	6	0	0	0	0	0	0	0
054321a0999b071993.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
054718a45e60c9858b.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	120	0.044	0.099	None	17	8	0	0	2	2	1	0	0
054718a45e60c9858b.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	8	0.004	0.0	None	1	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	5_PausingProgramsWithSleep1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	2_DigitalReadAndWrite.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	4_Programming7SegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	7_DAQReview.mp4	653	1.0	0.586	None	15	4	0	0	0	0	0	0	0
05503534-02-86-70-9D-34.xml	2	CS	6_AnalogRead.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	5_PausingProgramsWithSleep1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	2_DigitalReadAndWrite.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	4_Programming7SegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	7_DAQReview.mp4	12	0.024	0.0	None	0	0	0	0	0	0	0	0	0
055035FC-15-B4-FE-8D-B8.xml	1	CS	6_AnalogRead.mp4	283	0.739	0.106	None	51	18	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	5_PausingProgramsWithSleep1.mp4	461	1.0	0.266	None	14	11	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	8_DAQSimulatorDemo1.mp4	15	0.065	0.0	None	9	6	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	3_SevenSegmentDisplays.mp4	467	1.0	0.412	None	58	5	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	438	1.0	0.979	None	64	10	0	0	0	0	0	0	2
05583348d705d363e1.xml	1	CS	1_IntroductionToDAQProgramming.mp4	770	1.0	1.093	None	111	21	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	9_PlottingGraphsWithExcel1.mp4	12	0.025	0.0	None	9	7	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	2_DigitalReadAndWrite.mp4	474	1.0	0.473	None	90	9	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	4_Programming7SegmentDisplays.mp4	359	1.0	1.088	None	65	72	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	7_DAQReview.mp4	573	1.0	0.261	None	330	25	0	0	0	0	0	0	0
05583348d705d363e1.xml	1	CS	6_AnalogRead.mp4	442	1.0	0.459	None	50	7	0	0	0	0	0	0	0
0657548C-A9-82-30-83-91.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	135	0.07	0.088	None	9	4	2	0	0	0	0	0	0
0657548C-A9-82-30-83-91.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	1600	0.688	0.256	None	179	33	0	0	0	0	0	0	11
07,59,4020c9d0dbb24b.xml	2	CS	5_PausingProgramsWithSleep1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	2_DigitalReadAndWrite.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	4_Programming7SegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	7_DAQReview.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07,59,4020c9d0dbb24b.xml	2	CS	6_AnalogRead.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	5_PausingProgramsWithSleep1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	2_DigitalReadAndWrite.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	4_Programming7SegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	7_DAQReview.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
075889B0-10-41-F3-27-A3.xml	2	CS	6_AnalogRead.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	5_PausingProgramsWithSleep1.mp4	33	0.082	0.0	None	21	16	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	8_DAQSimulatorDemo1.mp4	10	0.043	0.0	None	1	1	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	2_DigitalReadAndWrite.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	4_Programming7SegmentDisplays.mp4	486	1.0	1.81	None	2	3	3	0	4	4	5	0	9
07591044-8A-5B-EF-E9-9E.xml	2	CS	7_DAQReview.mp4	196	0.388	0.0	None	180	0	0	0	0	0	0	0	0
07591044-8A-5B-EF-E9-9E.xml	2	CS	6_AnalogRead.mp4	516	1.0	0.796	None	51	30	3	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	5_PausingProgramsWithSleep1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	2_DigitalReadAndWrite.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	4_Programming7SegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	7_DAQReview.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
09566080e6501f98b2.xml	2	CS	6_AnalogRead.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
10583798fe944d6dfc.xml	1	PHI	JJ Thomson, Bystander at the Switch and Loop Trolley Problems.mp4	405	0.997	0.071	None	1	1	1	0	0	0	0	0	0
10583798fe944d6dfc.xml	1	PHI	JJ Thomson, 'fat man' trolley problem.mp4	316	1.0	0.0	None	320	0	0	0	0	0	0	0	0
10583798fe944d6dfc.xml	1	PHI	Philippa Foot, Trolley Driver and Transplant Problems.mp4	362	1.0	0.0	None	77	0	1	0	0	0	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	5_PausingProgramsWithSleep1.mp4	402	1.0	0.0	None	0	0	0	0	0	0	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	3_SevenSegmentDisplays.mp4	420	0.992	0.189	None	0	0	0	0	0	0	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	281	1.0	0.0	None	169	0	0	0	0	0	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	1_IntroductionToDAQProgramming.mp4	546	1.0	0.285	None	21	17	0	0	2	2	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
11540808-60-6E-1F-12-F3.xml	2	CS	2_DigitalReadAndWrite.mp4	440	1.0	0.391	None	3	4	1	0	0	0	0	0	0
